Date,Open,High,Low,Close,Adj Close,Volume
2017-03-02,218.000000,218.000000,215.000000,215.000000,215.000000,230
2017-03-03,217.000000,218.000000,206.050003,218.000000,218.000000,1880
2017-03-06,218.000000,218.000000,209.000000,214.600006,214.600006,910
2017-03-07,218.000000,218.000000,213.000000,216.000000,216.000000,4120
2017-03-08,216.000000,218.000000,215.000000,218.000000,218.000000,2540
2017-03-09,217.000000,218.000000,216.050003,216.050003,216.050003,800
2017-03-10,217.000000,218.000000,215.850006,215.850006,215.850006,300
2017-03-13,215.649994,216.750000,215.649994,216.750000,216.750000,2470
2017-03-14,216.750000,218.000000,210.000000,215.000000,215.000000,1720
2017-03-15,216.500000,218.000000,216.500000,218.000000,218.000000,610
2017-03-16,219.000000,219.000000,216.000000,216.050003,216.050003,2580
2017-03-17,219.500000,222.000000,219.000000,220.500000,220.500000,260
2017-03-20,221.000000,221.000000,221.000000,221.000000,221.000000,10
2017-03-21,224.500000,224.500000,220.000000,224.000000,224.000000,810
2017-03-22,224.100006,226.000000,221.000000,221.000000,221.000000,160
2017-03-23,225.000000,225.000000,218.000000,223.000000,223.000000,890
2017-03-27,223.000000,225.000000,219.000000,220.000000,220.000000,720
2017-03-28,219.000000,223.399994,215.000000,222.000000,222.000000,1540
2017-03-29,222.000000,225.000000,221.000000,225.000000,225.000000,320
2017-03-30,224.000000,224.000000,224.000000,224.000000,224.000000,90
2017-03-31,225.000000,225.000000,222.250000,224.000000,224.000000,340
2017-04-03,224.000000,224.000000,220.000000,221.500000,221.500000,1330
2017-04-04,221.250000,222.000000,220.000000,222.000000,222.000000,730
2017-04-05,224.000000,225.000000,223.000000,223.100006,223.100006,400
2017-04-06,224.000000,226.000000,223.000000,224.250000,224.250000,640
2017-04-07,223.000000,223.000000,223.000000,223.000000,223.000000,180
2017-04-10,222.000000,222.000000,219.500000,219.500000,219.500000,1110
2017-04-11,220.000000,220.000000,213.500000,216.100006,216.100006,4120
2017-04-12,215.850006,216.000000,215.000000,216.000000,216.000000,480
2017-04-17,215.000000,220.000000,215.000000,215.899994,215.899994,820
2017-04-18,215.000000,216.000000,215.000000,216.000000,216.000000,230
2017-04-19,219.000000,219.250000,216.000000,217.500000,217.500000,280
2017-04-20,217.500000,220.000000,215.000000,220.000000,220.000000,770
2017-04-21,218.000000,225.000000,217.600006,225.000000,225.000000,1860
2017-04-24,222.000000,225.000000,222.000000,222.500000,222.500000,1110
2017-04-25,225.000000,225.000000,220.000000,224.000000,224.000000,900
2017-04-26,224.000000,224.000000,220.000000,220.000000,220.000000,780
2017-04-27,220.699997,228.000000,220.000000,224.000000,224.000000,340
2017-04-28,224.000000,224.000000,220.000000,221.500000,221.500000,270
2017-05-02,223.000000,228.000000,222.000000,226.500000,226.500000,970
2017-05-03,227.000000,227.000000,225.000000,225.000000,225.000000,220
2017-05-04,225.000000,226.000000,225.000000,225.000000,225.000000,1680
2017-05-05,230.000000,230.000000,225.500000,229.000000,229.000000,11270
2017-05-08,231.000000,240.000000,231.000000,240.000000,240.000000,660
2017-05-09,235.000000,241.000000,235.000000,240.000000,240.000000,1140
2017-05-10,241.000000,241.000000,235.000000,239.000000,239.000000,1440
2017-05-11,238.000000,238.000000,236.500000,237.000000,237.000000,870
2017-05-12,240.500000,244.000000,235.000000,244.000000,244.000000,830
2017-05-15,245.000000,245.000000,242.000000,242.699997,242.699997,880
2017-05-16,241.500000,246.199997,241.500000,244.000000,244.000000,950
2017-05-17,255.000000,255.000000,235.000000,235.000000,235.000000,3460
2017-05-18,235.000000,244.000000,235.000000,240.000000,240.000000,2620
2017-05-19,245.000000,245.000000,243.899994,245.000000,245.000000,800
2017-05-22,247.500000,251.500000,247.500000,249.500000,249.500000,19710
2017-05-23,260.000000,260.000000,241.000000,244.449997,244.449997,610
2017-05-24,244.449997,250.000000,244.449997,250.000000,250.000000,350
2017-05-26,251.000000,251.000000,249.000000,250.000000,250.000000,830
2017-05-29,250.000000,250.000000,245.000000,250.000000,250.000000,410
2017-05-30,258.000000,258.000000,248.000000,249.000000,249.000000,530
